id;lat;lon;altitude
1;49.119778;13.307712;1140.5
2;49.07077;13.383929;1132.4
3;48.980269;13.639361;1015.0
4;49.054573;13.495166;907.0
5;48.984326;13.474566;1207.1
6;48.997391;13.521258;1136.3
7;48.920747;13.668201;902.2
8;48.875042;13.764503;1055.6
9;48.96517;13.491733;1176.43
10;48.985725;13.794901;1247.0																														
