Date Time;Temp (°C) LGR S/N: 21061759,  #21061759;RH (%) LGR S/N: 21061759,  #21061759;Coupler Detached LGR S/N: 21061759;Coupler Attached LGR S/N: 21061759;Host Connected LGR S/N: 21061759;End Of File LGR S/N: 21061759
24.11.2021 17:00:00;2.035;80.195;Logged;;;
24.11.2021 17:30:00;1.906;80.464;;;;
24.11.2021 18:00:00;1.949;80.781;;;;
24.11.2021 18:30:00;2.035;80.928;;;;
24.11.2021 19:00:00;1.949;80.098;;;;
24.11.2021 19:30:00;1.949;80.708;;;;
24.11.2021 20:00:00;2.078;80.757;;;;
24.11.2021 20:30:00;2.164;80.000;;;;
24.11.2021 21:00:00;2.035;80.879;;;;
24.11.2021 21:30:00;1.992;80.440;;;;
24.11.2021 22:00:00;1.735;80.171;;;;
24.11.2021 22:30:00;1.563;80.195;;;;
24.11.2021 23:00:00;1.477;80.781;;;;
24.11.2021 23:30:00;1.306;80.000;;;;
25.11.2021 00:00:00;1.220;81.441;;;;
25.11.2021 00:30:00;1.048;81.074;;;;
25.11.2021 01:00:00;0.962;80.904;;;;
25.11.2021 01:30:00;0.834;81.978;;;;
25.11.2021 02:00:00;0.705;81.270;;;;
25.11.2021 02:30:00;0.533;81.709;;;;
25.11.2021 03:00:00;0.319;81.734;;;;
25.11.2021 03:30:00;0.062;82.295;;;;
25.11.2021 04:00:00;-0.110;82.393;;;;
25.11.2021 04:30:00;-0.153;83.199;;;;
25.11.2021 05:00:00;-0.367;82.735;;;;
25.11.2021 05:30:00;-0.496;83.077;;;;
25.11.2021 06:00:00;-0.496;83.370;;;;
25.11.2021 06:30:00;-0.625;83.004;;;;
25.11.2021 07:00:00;-0.796;82.540;;;;
25.11.2021 07:30:00;-0.754;83.663;;;;
25.11.2021 08:00:00;-0.625;83.419;;;;
25.11.2021 08:30:00;-0.496;83.565;;;;
25.11.2021 09:00:00;-0.410;82.711;;;;
25.11.2021 09:30:00;-0.325;82.295;;;;
25.11.2021 10:00:00;0.019;82.247;;;;
25.11.2021 10:30:00;0.362;80.488;;;;
