Date Time;Temp (°C) LGR S/N: 21067844,  #21067844;RH (%) LGR S/N: 21067844,  #21067844;Coupler Detached LGR S/N: 21067844;Coupler Attached LGR S/N: 21067844;Host Connected LGR S/N: 21067844;End Of File LGR S/N: 21067844
26.04.2021 22:00:00;22.284;23.761;Logged;;;
26.04.2021 22:30:00;22.284;23.468;;;;
26.04.2021 23:00:00;22.198;23.712;;;;
26.04.2021 23:30:00;22.284;23.663;;;;
27.04.2021 00:00:00;22.241;23.761;;;;
27.04.2021 00:30:00;22.241;23.883;;;;
27.04.2021 01:00:00;22.198;23.834;;;;
27.04.2021 01:30:00;22.241;23.712;;;;
27.04.2021 02:00:00;22.155;23.687;;;;
27.04.2021 02:30:00;22.155;23.712;;;;
27.04.2021 03:00:00;22.155;23.516;;;;
27.04.2021 03:30:00;22.069;23.663;;;;
27.04.2021 04:00:00;22.155;23.712;;;;
27.04.2021 04:30:00;22.027;24.444;;;;
27.04.2021 05:00:00;22.069;24.322;;;;
27.04.2021 05:30:00;21.984;24.444;;;;
27.04.2021 06:00:00;21.984;24.591;;;;
27.04.2021 06:30:00;22.027;24.835;;;;
27.04.2021 07:00:00;22.112;25.592;;;;
27.04.2021 07:30:00;22.198;25.714;;;;
27.04.2021 08:00:00;22.198;26.129;;;;
27.04.2021 08:30:00;22.370;26.032;;;;
27.04.2021 09:00:00;22.413;25.812;;;;
27.04.2021 09:30:00;22.541;26.105;;;;
27.04.2021 10:00:00;22.713;26.422;;;;
27.04.2021 10:30:00;22.842;26.374;;;;
27.04.2021 11:00:00;22.970;25.958;;;;
27.04.2021 11:30:00;23.013;25.714;;;;
27.04.2021 12:00:00;23.185;25.983;;;;
27.04.2021 12:30:00;23.228;25.812;;;;
27.04.2021 13:00:00;23.142;24.713;;;;
27.04.2021 13:30:00;23.142;25.250;;;;
27.04.2021 14:00:00;23.185;25.568;;;;
27.04.2021 14:30:00;23.142;25.836;;;;
27.04.2021 15:00:00;23.142;25.958;;;;
27.04.2021 15:30:00;23.099;26.032;;;;
27.04.2021 16:00:00;23.056;26.105;;;;
27.04.2021 16:30:00;23.056;26.203;;;;
27.04.2021 17:00:00;22.970;26.325;;;;
27.04.2021 17:30:00;22.970;26.422;;;;
27.04.2021 18:00:00;22.885;26.642;;;;
27.04.2021 18:30:00;22.927;26.691;;;;
27.04.2021 19:00:00;22.885;26.740;;;;
27.04.2021 19:30:00;22.885;26.862;;;;
27.04.2021 20:00:00;22.756;26.984;;;;
27.04.2021 20:30:00;22.756;26.984;;;;
27.04.2021 21:00:00;22.756;26.984;;;;
27.04.2021 21:30:00;22.713;27.057;;;;
27.04.2021 22:00:00;22.713;27.057;;;;
27.04.2021 22:30:00;22.713;27.375;;;;
27.04.2021 23:00:00;22.670;27.350;;;;
27.04.2021 23:30:00;22.584;27.473;;;;
28.04.2021 00:00:00;22.627;27.448;;;;
28.04.2021 00:30:00;22.541;27.570;;;;
28.04.2021 01:00:00;22.584;27.595;;;;
28.04.2021 01:30:00;22.498;27.546;;;;
28.04.2021 02:00:00;22.584;27.570;;;;
28.04.2021 02:30:00;22.541;27.595;;;;
28.04.2021 03:00:00;22.541;27.521;;;;
28.04.2021 03:30:00;22.541;27.521;;;;
28.04.2021 04:00:00;22.456;27.570;;;;
28.04.2021 04:30:00;22.541;27.546;;;;
28.04.2021 05:00:00;22.498;27.424;;;;
28.04.2021 05:30:00;22.541;27.888;;;;
28.04.2021 06:00:00;22.541;28.376;;;;
28.04.2021 06:30:00;22.584;28.669;;;;
28.04.2021 07:00:00;22.627;28.718;;;;
28.04.2021 07:30:00;22.799;28.938;;;;
28.04.2021 08:00:00;22.842;29.573;;;;
28.04.2021 08:30:00;23.013;29.744;;;;
28.04.2021 09:00:00;23.099;29.646;;;;
28.04.2021 09:30:00;23.314;30.110;;;;
28.04.2021 10:00:00;23.442;30.085;;;;
28.04.2021 10:30:00;23.528;29.451;;;;
28.04.2021 11:00:00;23.614;29.255;;;;
28.04.2021 11:30:00;23.657;29.353;;;;
28.04.2021 12:00:00;23.785;29.475;;;;
28.04.2021 12:30:00;23.785;29.353;;;;
28.04.2021 13:00:00;23.828;29.328;;;;
28.04.2021 13:30:00;23.785;29.377;;;;
28.04.2021 14:00:00;23.743;29.402;;;;
28.04.2021 14:30:00;23.614;29.695;;;;
28.04.2021 15:00:00;23.271;29.817;;;;
28.04.2021 15:30:00;23.356;29.817;;;;
28.04.2021 16:00:00;23.314;29.866;;;;
28.04.2021 16:30:00;23.356;29.915;;;;
28.04.2021 17:00:00;23.271;29.988;;;;
28.04.2021 17:30:00;23.271;29.963;;;;
28.04.2021 18:00:00;23.185;30.037;;;;
28.04.2021 18:30:00;23.185;30.037;;;;
28.04.2021 19:00:00;23.142;30.037;;;;
28.04.2021 19:30:00;23.142;30.110;;;;
28.04.2021 20:00:00;23.099;30.232;;;;
28.04.2021 20:30:00;23.142;30.208;;;;
28.04.2021 21:00:00;23.056;30.256;;;;
28.04.2021 21:30:00;23.056;30.379;;;;
28.04.2021 22:00:00;23.056;30.501;;;;
28.04.2021 22:30:00;23.013;30.598;;;;
28.04.2021 23:00:00;23.013;30.256;;;;
28.04.2021 23:30:00;22.927;30.232;;;;
29.04.2021 00:00:00;23.013;30.305;;;;
29.04.2021 00:30:00;22.927;29.988;;;;
29.04.2021 01:00:00;22.970;30.061;;;;
29.04.2021 01:30:00;22.927;30.354;;;;
29.04.2021 02:00:00;22.927;30.012;;;;
29.04.2021 02:30:00;22.927;30.476;;;;
29.04.2021 03:00:00;22.927;30.183;;;;
29.04.2021 03:30:00;22.927;30.525;;;;
29.04.2021 04:00:00;22.927;30.672;;;;
29.04.2021 04:30:00;22.927;30.696;;;;
29.04.2021 05:00:00;22.927;30.745;;;;
29.04.2021 05:30:00;22.927;30.794;;;;
29.04.2021 06:00:00;22.970;30.769;;;;
29.04.2021 06:30:00;23.056;31.355;;;;
29.04.2021 07:00:00;23.013;31.380;;;;
29.04.2021 07:30:00;23.013;31.404;;;;
29.04.2021 08:00:00;23.056;31.551;;;;
29.04.2021 08:30:00;23.099;31.868;;;;
29.04.2021 09:00:00;23.099;32.210;;;;
29.04.2021 09:30:00;23.314;32.283;;;;
29.04.2021 10:00:00;23.314;32.332;;;;
29.04.2021 10:30:00;23.399;32.381;;;;
29.04.2021 11:00:00;23.399;32.405;;;;
29.04.2021 11:30:00;23.442;32.454;;;;
29.04.2021 12:00:00;23.528;32.625;;;;
29.04.2021 12:30:00;23.614;32.698;;;;
29.04.2021 13:00:00;23.614;32.747;;;;
29.04.2021 13:30:00;23.614;32.576;;;;
29.04.2021 14:00:00;23.614;32.454;;;;
29.04.2021 14:30:00;23.614;32.601;;;;
29.04.2021 15:00:00;23.614;32.259;;;;
29.04.2021 15:30:00;23.614;32.430;;;;
29.04.2021 16:00:00;23.571;32.283;;;;
29.04.2021 16:30:00;23.528;32.161;;;;
29.04.2021 17:00:00;23.485;32.088;;;;
29.04.2021 17:30:00;23.442;31.893;;;;
29.04.2021 18:00:00;23.399;31.893;;;;
29.04.2021 18:30:00;23.399;31.697;;;;
29.04.2021 19:00:00;23.399;31.770;;;;
29.04.2021 19:30:00;23.356;31.722;;;;
29.04.2021 20:00:00;23.356;31.673;;;;
29.04.2021 20:30:00;23.271;31.697;;;;
29.04.2021 21:00:00;23.314;31.697;;;;
29.04.2021 21:30:00;23.228;31.624;;;;
29.04.2021 22:00:00;23.228;31.575;;;;
29.04.2021 22:30:00;23.228;31.697;;;;
29.04.2021 23:00:00;23.228;31.575;;;;
29.04.2021 23:30:00;23.228;31.575;;;;
30.04.2021 00:00:00;23.185;31.429;;;;
30.04.2021 00:30:00;23.185;31.600;;;;
30.04.2021 01:00:00;23.185;31.551;;;;
30.04.2021 01:30:00;23.185;31.624;;;;
30.04.2021 02:00:00;23.185;31.551;;;;
30.04.2021 02:30:00;23.185;31.600;;;;
30.04.2021 03:00:00;23.099;31.722;;;;
30.04.2021 03:30:00;23.185;31.770;;;;
30.04.2021 04:00:00;23.142;31.966;;;;
30.04.2021 04:30:00;23.142;31.893;;;;
30.04.2021 05:00:00;23.056;31.795;;;;
30.04.2021 05:30:00;23.142;31.819;;;;
30.04.2021 06:00:00;23.099;31.722;;;;
30.04.2021 06:30:00;23.185;31.722;;;;
30.04.2021 07:00:00;23.142;31.893;;;;
30.04.2021 07:30:00;23.099;29.231;;;;
30.04.2021 08:00:00;22.756;27.863;;;;
30.04.2021 08:30:00;22.627;27.888;;;;
30.04.2021 09:00:00;22.413;26.813;;;;
30.04.2021 09:30:00;22.413;26.154;;;;
30.04.2021 10:00:00;22.370;25.714;;;;
30.04.2021 10:30:00;22.370;25.519;;;;
30.04.2021 11:00:00;22.198;24.347;;;;
30.04.2021 11:30:00;22.327;26.227;;;;
30.04.2021 12:00:00;22.541;26.007;;;;
30.04.2021 12:30:00;22.670;26.545;;;;
30.04.2021 13:00:00;22.799;26.545;;;;
30.04.2021 13:30:00;22.970;27.106;;;;
30.04.2021 14:00:00;23.142;27.350;;;;
30.04.2021 14:30:00;23.142;27.741;;;;
30.04.2021 15:00:00;23.185;27.961;;;;
30.04.2021 15:30:00;23.185;28.205;;;;
30.04.2021 16:00:00;23.271;28.400;;;;
30.04.2021 16:30:00;23.185;28.645;;;;
30.04.2021 17:00:00;23.228;28.694;;;;
30.04.2021 17:30:00;23.185;29.011;;;;
30.04.2021 18:00:00;23.142;29.035;;;;
30.04.2021 18:30:00;23.185;29.231;;;;
30.04.2021 19:00:00;23.185;29.304;;;;
30.04.2021 19:30:00;23.185;29.426;;;;
30.04.2021 20:00:00;23.185;29.597;;;;
30.04.2021 20:30:00;23.185;29.670;;;;
30.04.2021 21:00:00;23.142;29.817;;;;
30.04.2021 21:30:00;23.142;29.890;;;;
30.04.2021 22:00:00;23.142;30.232;;;;
30.04.2021 22:30:00;23.142;30.281;;;;
30.04.2021 23:00:00;23.142;30.476;;;;
30.04.2021 23:30:00;23.142;30.647;;;;
01.05.2021 00:00:00;23.099;30.720;;;;
01.05.2021 00:30:00;23.099;30.867;;;;
01.05.2021 01:00:00;23.099;30.940;;;;
01.05.2021 01:30:00;23.185;31.013;;;;
01.05.2021 02:00:00;23.056;31.160;;;;
01.05.2021 02:30:00;23.099;31.184;;;;
01.05.2021 03:00:00;23.056;31.380;;;;
01.05.2021 03:30:00;23.099;31.453;;;;
01.05.2021 04:00:00;23.013;31.648;;;;
01.05.2021 04:30:00;23.056;31.600;;;;
01.05.2021 05:00:00;23.056;31.673;;;;
01.05.2021 05:30:00;23.099;31.770;;;;
01.05.2021 06:00:00;23.056;31.844;;;;
01.05.2021 06:30:00;23.099;31.941;;;;
01.05.2021 07:00:00;23.099;32.210;;;;
01.05.2021 07:30:00;23.142;32.112;;;;
01.05.2021 08:00:00;23.185;32.308;;;;
01.05.2021 08:30:00;23.185;32.259;;;;
01.05.2021 09:00:00;23.142;32.283;;;;
01.05.2021 09:30:00;23.228;32.381;;;;
01.05.2021 10:00:00;23.228;32.430;;;;
01.05.2021 10:30:00;23.228;32.430;;;;
01.05.2021 11:00:00;23.228;32.479;;;;
01.05.2021 11:30:00;23.228;32.527;;;;
01.05.2021 12:00:00;23.314;34.017;;;;
01.05.2021 12:30:00;23.314;33.187;;;;
01.05.2021 13:00:00;23.356;33.040;;;;
01.05.2021 13:30:00;23.356;32.821;;;;
01.05.2021 14:00:00;23.356;32.869;;;;
01.05.2021 14:30:00;23.356;32.821;;;;
01.05.2021 15:00:00;23.356;32.772;;;;
01.05.2021 15:30:00;23.356;32.796;;;;
01.05.2021 16:00:00;23.314;32.772;;;;
01.05.2021 16:30:00;23.314;32.796;;;;
01.05.2021 17:00:00;23.271;32.723;;;;
01.05.2021 17:30:00;23.314;32.796;;;;
